c2h2/c2h4,ch4/h2,c2h4/c2h6
2.561,3.9308,64.3902
1.6771,0.3037,120.0938
0.2816,1.0061,17.7532
0.0,0.0681,35000.0
1.4242,0.2583,66000.0
0.886,0.2804,1140000.0
2.6,0.5114,0.2632
4.9403,4.988,13.7303
1.9032,2.6154,0.3333
0.0001,0.6036,0.0857
0.0001,0.2935,0.1045
3.3602,0.3279,4.8788
2.7416,0.1345,9.8889
0.3333,0.1453,3.0
3.4308,0.356,18.5714
0.1495,2.6774,10700000.0
0.0316,5.3368,0.1195
6.0204,0.1631,39.2
0.9968,0.7028,43.55
0.0,1.4475,0.6829
1.3478,0.2609,0.1337
1.0629,0.4122,6.8889
4.6325,0.1734,20.75
1.5892,1.5259,32.4556
3.3881,1.4167,13.4
0.5455,0.8667,6.1111
0.0003,0.0713,0.15
0.0424,1.5651,12.6429
1.0716,0.2383,13.1852
1.5621,0.2385,9.5625
1.4188,0.673,21.2464
1.4545,0.8425,14.0
0.0051,100000.0,4.4175
0.7049,0.2217,0.1109
6.9091,0.3492,0.7333
27500.0,0.0252,0.0
0.0,0.95,1.7111
3.7093,2.1596,19.5312
0.0,1.1529,0.0952
0.0001,1.3514,0.2
4000.0,1.2353,0.0
1.0,0.0636,1.0
10.2299,0.0209,8700.0
0.5937,0.1737,0.0615
1.1,0.24,12.0482
0.9928,1.488,48.6494
4.1111,0.0588,1.3333
0.9075,1.1699,1.587
2.3333,20.5,0.0677
1.6048,6.4755,0.199
0.0,0.5,63.0
0.0001,33700.0,0.0838
1.84,0.0894,0.0986
1.2646,1.1192,50.1912
4.1302,4.7124,10.5625
0.0,1.1579,0.3125
1.3818,0.4727,7.6304
1.9412,0.162,1.7
0.0,2.5946,3.0
0.0,2.6481,4.3913
0.2569,0.2196,10.2188
0.5155,0.0192,2.0638
0.0001,4.25,0.121
1.4286,0.0588,1.1667
0.0,0.0688,1.4
3.0241,1.1256,15.3699
0.8596,0.716,5.1351
0.0001,153000.0,0.0296
0.0464,1.9306,4.7238
1.8423,0.324,1.0467
7.4286,0.25,3.5
0.0,1.0714,1.7381
2.1795,0.0509,139.25
0.0338,1.7677,6.6789
1.8571,0.2,2.0
3.5455,0.1053,11000.0
0.0181,3.1573,8.3862
0.0162,1.6667,2.0556
0.0001,0.6033,0.0615
0.08,0.9722,0.6667
0.0,1.8889,153000.0
6.1429,0.0714,14.0
3.4286,0.0833,5.6
0.0,0.4094,0.6791
0.0,1.6324,1.2222
0.0,15.3077,3.7529
0.06,0.4622,18.48
4.7313,1.7673,7.2361
0.0,1.3387,0.6782
0.0,6.3,0.1989
2.3216,0.2059,2.8462
4.0627,1.7933,9.7288
1.0476,0.1698,9.0
0.0129,1.4545,9.095
0.0001,1.6667,0.0548
1.131,1.1481,39.2069
1.5238,0.0833,10.5
0.0478,2.9203,14.24
0.0247,4.9695,3.9124
1.0,0.0728,0.0
44000.0,0.0,1.0
0.0063,0.9402,2.1645
0.0147,28000.0,6.375
4000.0,0.1858,0.0
1.2459,0.7419,11.2963
3.047,6.9677,35.6122
8.0826,0.1149,2.4694
6.25,0.1504,8000.0
0.0,0.8333,21.75
1.4118,0.35,7.7273
0.0,1.9444,55.0
35000.0,1.5,1.0
0.0399,6.8548,2.3587
0.616,0.1575,52.4691
21000.0,0.0672,0.0001
0.0,0.6847,0.0128
0.6262,1.1849,9.7812
1.0,0.0267,0.001
1.6667,2.4706,0.0625
0.0,4900.0,2.1235
0.0001,32.8333,0.0354
0.0055,13.4615,5.4368
1.1667,0.1048,1.0
1.4444,0.2,0.375
4.6292,2.1268,9.8889
0.0,2.2143,4.75
3.3,0.84,0.102
2.4901,0.2023,16.0
0.0,5.6,0.9722
6000.0,0.0976,0.0001
9.5,0.1515,0.0526
0.0,2.0734,2.8235
0.0,8.0857,1.8347
1.1667,0.1065,0.1
1.8065,0.2359,62.6279
0.2639,1.6333,2.0
0.8921,2.0881,13.8197
0.0001,0.0367,0.8182
0.0,2.8909,4.3246
2.5664,0.1323,13.5306
0.0,1.3,9.1667
17.8571,0.2,2.0
278000.0,0.1176,0.0001
2.0,0.1305,0.009
0.014,5.5814,4.1548
0.0,2.0365,7.6515
0.0002,2.8,0.0214
1.0,0.0265,0.0009
4.9565,0.0525,10.4545
1.1332,0.2789,10.9429
0.0,11.0,5.6
4.9167,0.1743,2.4
0.1538,2.6111,0.1667
0.2593,0.0885,0.7397
1.8333,0.2048,8.5
0.0001,1.037,0.0588
4.7778,0.4667,9.0
3.4231,0.3443,13.0
4.8197,0.5226,6.1
1.1652,0.4694,5.2093
0.0,0.0938,1.3824
5.503,0.0537,22.1333
0.0,1.96,1.381
0.25,5.1071,0.2917
0.0,1.8065,2.3333
0.0026,498.3333,0.8695
5.0625,0.1915,4.0
0.0007,3.8487,3.1222
0.1126,2.8509,120.2432
0.0,5.1176,6.9423
1.7679,1.6004,41.28
0.6292,0.5352,1830.0
0.0,1.0,6.3333
0.0,1.0769,60.0
3.9606,14.495,18.6813
0.0001,1.9583,0.0885
0.0001,1.8148,0.0469
0.0004,0.1603,0.0312
0.0001,6.6,0.2787
1.2308,0.3526,0.1262
0.8691,3.1689,231.05
0.0315,3.331,6.0535
1.9623,0.4891,7.5714
0.0001,0.0815,0.5714
0.0,4.4286,6.4348
0.001,0.0377,0.5
0.34,0.0099,0.6061
0.0003,0.2529,0.0441
0.8713,1.2054,33.1263
3.0,0.1558,6.625
0.0007,0.003,0.2979
0.08,6.0212,62.0877
7.1333,0.35,3.75
1.2765,0.1079,53.5857
0.5217,0.0667,2.2258
1.0,0.0833,10.5
0.0001,61.5,2.5714
0.1292,3.719,6.1507
1.0,0.1284,0.0
0.0591,1.4167,0.8162
1.1413,0.5634,108.1429
0.0118,2.0769,4.8485
1.0,4.5417,0.0
2.9035,2.7264,29.7848
1.3122,1.0263,66.4444
0.0,3.3243,0.7761
0.0,2.0,23.0
34000.0,0.0571,0.0
0.6667,0.2542,17.6471
0.0003,0.0802,3000.0
0.0,24.6364,0.0688
0.0177,3.4778,8.4478
0.0,10.6,3.0
2.5781,0.0438,0.5614
1.0,0.0625,0.3333
0.0001,0.0609,2.2727
0.75,0.219,0.3077
0.0,2.4,5.1667
1.8276,0.3902,3.0526
6.786,1.6007,2.3854
1.0286,1.0,14.9573
0.0002,2.6,0.0408
0.9148,0.8866,5.3107
1.0,0.0062,0.0
3.025,0.194,0.2073
0.1514,1.8495,5.6651
0.0,0.0066,53190.0
0.0003,2.7744,0.0553
7.875,0.6316,4.0
1.3137,5.7013,462.8
0.0,1.0,142000.0
0.0001,0.2734,0.0798
4.2,0.4348,0.7143
0.0081,3.3333,2.8721
1.4067,0.0312,0.4011
0.0002,0.0328,5000.0
0.0,2.4737,2.2963
0.0958,0.8259,0.6068
40000.0,21000.0,1.0
1.5094,0.5952,12.9268
22.326,0.0541,3.3519
3.6969,0.6435,24.2078
0.1833,0.1467,6.6667
1.9655,0.65,15.6757
4.0321,0.2369,50.8667
0.2116,0.3944,11.4253
1.2619,0.4622,18.48
1.6023,0.4819,2.1256
0.8781,0.6413,3504.0
9.3333,0.6364,0.3158
0.0002,0.1207,0.0396
0.0001,1.16,0.0584
1.2748,0.4898,7.2778
8.8,0.36,0.8333
0.0001,2.0,0.0795
0.0001,4.2222,0.086
3.7819,0.6391,18.625
0.0005,0.5833,0.0308
1.0,0.1544,0.0
0.0444,0.0545,1.3636
0.0,5.2222,4.3611
0.0,0.6667,0.4712
0.06,8.0,12.5
0.0,2.7778,0.2252
0.0164,2.0,6.0909
0.0003,0.1212,0.0487
0.0,1.3197,0.1292
1.1429,0.6176,12.25
0.0001,5.0,0.0746
2.9792,0.3584,17.843
0.0293,2.35,3.9048
